rank_2020,company,usa_primary,usa_uei,usa_link,alt_names_and_children
2,Raytheon Technologies,F,NN3QQ1NCT3E9,https://www.usaspending.gov/recipient/0676fa26-5930-78a1-d406-f255e5d2e31f-P/latest,
2,Raytheon Technologies,F,FESVT4H66TH7,https://www.usaspending.gov/recipient/09e43005-716f-1e4d-1be3-164685604b15-P/latest,
2,Raytheon Technologies,F,UC9RJQYH1QK3,https://www.usaspending.gov/recipient/197170bc-a52c-bee8-842f-334f0002551c-P/latest,
2,Raytheon Technologies,F,SYUMJX8SCAH1,https://www.usaspending.gov/recipient/2b1aa5de-cf58-c873-20be-a5bd6034d71f-P/latest,
2,Raytheon Technologies,F,J1XENDW5R2X7,https://www.usaspending.gov/recipient/3bb01d41-6a01-7dc5-67a7-1f9411906591-P/latest,
2,Raytheon Technologies,F,EMTACMT2J5Q7,https://www.usaspending.gov/recipient/418fa8e7-6fb2-798d-1fff-3d7885a83c38-P/latest,
2,Raytheon Technologies,F,E2QLYJCVCF48,https://www.usaspending.gov/recipient/4dce911f-9869-a3ed-853b-a972f3b0691d-P/latest,
2,Raytheon Technologies,F,TCP5Q14MFGT9,https://www.usaspending.gov/recipient/51733630-bfeb-2316-3c46-85dd5a3f8dfe-P/latest,
2,Raytheon Technologies,F,PWJ8PLVN6YZ8,https://www.usaspending.gov/recipient/61f7af3e-74e6-c190-d613-c3e4ac748143-P/latest,
2,Raytheon Technologies,F,DE82X7XEGA15,https://www.usaspending.gov/recipient/654342c6-e054-15d8-81a6-69f76fa5a3a0-P/latest,
2,Raytheon Technologies,F,D9DKLKAJ48M9,https://www.usaspending.gov/recipient/48ccf047-0c52-058e-11d3-3e71de2671de-P/latest,
2,Raytheon Technologies,F,UTB5X6K1ENA4,https://www.usaspending.gov/recipient/6f2031fb-faa3-90a5-b229-3859d012bb47-P/latest,
2,Raytheon Technologies,F,G3Q2L41RGGD3,https://www.usaspending.gov/recipient/6f37d9e8-90b9-214d-69dd-57cf5cdaac52-P/latest,
2,Raytheon Technologies,F,TRDEKMFH6VM5,https://www.usaspending.gov/recipient/59e216bd-cc05-5c89-b067-9456cfabee5e-P/latest,
2,Raytheon Technologies,F,WJ11TE8ERKT1,https://www.usaspending.gov/recipient/71cc2e92-f13f-c0a8-06b8-94b0fb345df3-P/latest,
2,Raytheon Technologies,F,JPJCZUSL7KQ1,https://www.usaspending.gov/recipient/71590b6c-cea4-ad51-3d27-299cabdffc40-P/latest,
2,Raytheon Technologies,F,DLHETZ8ULDJ7,https://www.usaspending.gov/recipient/54f1d97a-5805-1932-cd76-9e88d1d4f960-P/latest,
2,Raytheon Technologies,F,M8MUQY23KDS3,https://www.usaspending.gov/recipient/2bf45144-6131-2173-0d80-24dc730fb287-P/latest,
2,Raytheon Technologies,F,EFUPHY4B8MH5,https://www.usaspending.gov/recipient/775e142c-e271-3751-308e-8e192d015d7c-P/latest,
2,Raytheon Technologies,F,FDDRALMWSNF7,https://www.usaspending.gov/recipient/7c14b223-01ab-44af-207c-f58eff42cfff-P/latest,
2,Raytheon Technologies,F,J425NKS6D9R5,https://www.usaspending.gov/recipient/7c6dcd77-9373-bc98-4b76-2d3ea7b28df8-P/latest,
2,Raytheon Technologies,F,T2BFHZS64AB1,https://www.usaspending.gov/recipient/f737172f-3f88-b89d-5eb9-5239b4132255-P/latest,
2,Raytheon Technologies,F,QZBNUW94NKB6,https://www.usaspending.gov/recipient/f9a1c38b-3142-a8aa-dfba-695e13475ab0-P/latest,
2,Raytheon Technologies,F,HRUKJA4PMW92,https://www.usaspending.gov/recipient/fc3c5a10-b248-9659-3d4f-070c8e3fbe0a-P/latest,
2,Raytheon Technologies,F,PH12UTKM18R3,https://www.usaspending.gov/recipient/e9db7144-313f-136f-ee3b-fc7b917e271b-P/latest,
2,Raytheon Technologies,F,G3KMRJRKPMS6,https://www.usaspending.gov/recipient/f09d895c-7232-d552-ce2b-0612b22f53ee-P/latest,
2,Raytheon Technologies,F,FDMACTHU1BX1,https://www.usaspending.gov/recipient/a15681c6-72b5-963c-d135-896be9851e2f-P/latest,
2,Raytheon Technologies,F,HU32NX38AC43,https://www.usaspending.gov/recipient/d103d330-1a96-76ac-e0aa-fe7287f50fea-P/latest,
3,Boeing,T,NU2UC8MX6NK1,https://www.usaspending.gov/recipient/419ccd27-d6f4-d363-aeaf-b9e2c3ae6f5d-P/latest,"THE BOEING COMPANY|ARGON ST INC.|ARGON ST. INC.|AVIALL SERVICES INC.|BOEING AEROSPACE OPERATIONS INC.|BOEING CO|BOEING COMPANY THE|BOEING COMPANY, THE|BOEING COMPANY, THE INC|BOEING DISTRIBUTION INC.|BOEING DISTRIBUTION SERVICES INC.|BOEING DISTRIBUTION SERVICES DEFENSE LLC|BOEING DISTRIBUTION SERVICES VI LLC|BOEING DISTRIBUTION SERVICES X INC.|FOREFLIGHT LLC|KLX AEROSPACE SOLUTIONS DEFENSE LLC|M & M AEROSPACE HARDWARE INC.|MILLENNIUM SPACE SYSTEMS INC.|SPECTROLAB INC.|BELL BOEING JOINT PROJECT OFFICE|BELL BOEING JOINT PROJECT OFFI|THE BOEING COMPANY (0674)|TAPESTRY SOLUTIONS, INC.|NAVICO NORWAY AS|MCDONNELL DOUGLAS SERVICES, INC.|MCDONNELL DOUGLAS HELICOPTER COMPANY|LIQUID ROBOTICS, INC.|KESTREL ENTERPRISES, INC|INVENTORY LOCATOR SERVICE, LLC|INSITU, INC.|HRL LABORATORIES, LLC|FRONTIER SYSTEMS INC|FEDERATED SOFTWARE GROUP, INC., THE|EXMERITUS SOFTWARE FEDERAL SYSTEMS, INC|DIGITAL RECEIVER TECHNOLOGY, INC.|CONTINENTAL GRAPHICS CORPORATION|CDM TECHNOLOGIES, INCORPORATED|BOEING US TRAINING AND FLIGHT SERVICES, L.L.C.|BOEING SVS INCORPORATED|BOEING SIKORSKY AIRCRAFT SUPPORT, LLC|BOEING SATELLITE SYSTEMS, INC.|BOEING MANAGEMENT COMPANY|BOEING LAUNCH SERVICES, INC.|BOEING INTELLIGENCE & ANALYTICS, INC.|BOEING INTELLECTUAL PROPERTY LICENSING COMPANY|BOEING DISTRIBUTION, INC.|BOEING DISTRIBUTION SERVICES, INC.|BOEING DISTRIBUTION SERVICES X, INC.|BOEING DISTRIBUTION SERVICES DEFENSE LLC|BOEING DIGITAL SOLUTIONS, INC.|BOEING COMSATCOM SERVICES, INC.|BOEING COMPANY, THE (INC)|BOEING COMPANY|BOEING COMMERCIAL SATELLITE SERVICES, INC.|BOEING AEROSPACE OPERATIONS, INC.|AURORA FLIGHT SCIENCES CORPORATION|2D3, INC."
3,Boeing,F,JHFZTG8ZC9V2,https://www.usaspending.gov/recipient/846d3ff4-b2cb-3924-018c-2dee1e0259b7-P/latest,
3,Boeing,F,M12BAQJG9AF5,https://www.usaspending.gov/recipient/ba4f2c06-dc07-cd68-2036-4185fabd8415-P/latest,
3,Boeing,F,QPHEMY5GN8E8,https://www.usaspending.gov/recipient/76ec002b-48c9-454a-7543-620a8871c5c7-P/latest,
3,Boeing,F,YC25MRLXVH53,https://www.usaspending.gov/recipient/89bf2f9f-cf1e-d1ed-62ea-9d5e4cabaf9a-P/latest,
3,Boeing,F,Q1X5A4K6C6G9,https://www.usaspending.gov/recipient/8b2c025d-3a85-0677-2bf5-c70fc9145619-P/latest,
3,Boeing,F,ND7JL11CAD56,https://www.usaspending.gov/recipient/8cbe237b-45dd-3aec-bdef-e435ef24468d-P/latest,
3,Boeing,F,K15SY34UF3J1,https://www.usaspending.gov/recipient/8f29f0a9-109b-f859-0a31-af7991a7e094-P/latest,
3,Boeing,F,N64BN2M8M5G8,https://www.usaspending.gov/recipient/8f48a02e-4117-705c-08a8-8f7e0a4e56e9-P/latest,
3,Boeing,F,CA8TBMJDW8J8,https://www.usaspending.gov/recipient/b7febb70-2a69-09cf-e514-f9823c42ef9a-P/latest,
3,Boeing,F,DNTTHDQD8N36,https://www.usaspending.gov/recipient/c85c2767-5621-a370-f5d0-c2265e5c6d42-P/latest,
